Stories	कहानियाँ
A hungry fox squeezed through a narrow gap into a granary and ate, and ate, and ate, until his belly was round and tight. But when he tried to leave, he was far too full to fit back through the gap. Stuck and groaning, he had to wait, hungry and uncomfortable, until his belly shrank back to the size it had been when he came in. "All that feasting," he sighed, crawling out at last, "and I leave exactly as I arrived. Enough would have served me better than too much."	एक भूखी लोमड़ी एक तंग झिरी से अनाज के गोदाम में घुस गई और खाती रही, खाती रही, खाती रही — जब तक उसका पेट गोल और तना हुआ न हो गया। पर जब निकलने चली, तो वह उसी झिरी से वापस निकलने के लिए कहीं ज़्यादा भरी हुई थी। फँसी और कराहती हुई, उसे तब तक इंतज़ार करना पड़ा — भूखी और बेचैन — जब तक उसका पेट वापस उतना ही न हो गया, जितना अंदर आते वक़्त था। "इतनी दावत," उसने आख़िर बाहर रेंगते हुए आह भरी, "और मैं ठीक वैसी ही लौट रही हूँ जैसी आई थी। ज़रूरत भर मेरे कहीं ज़्यादा काम आता, इस हद से ज़्यादा के बजाय।"
Enough is a feast; too much is its own kind of trap.	ज़रूरत भर ही दावत है; हद से ज़्यादा अपने आप में एक जाल है।
Enjoy good things, little one - but know when enough is enough. More isn't always more; sometimes it just gets you stuck.	अच्छी चीज़ों का मज़ा लेना, नन्ही जान — पर यह जानना भी कि बस, इतना काफ़ी है। ज़्यादा हमेशा ज़्यादा नहीं होता; कभी-कभी वो बस फँसा देता है।
The Owl Who Judged in Haste	वो उल्लू जिसने जल्दबाज़ी में फ़ैसला सुनाया
An owl saw a young fox digging frantically at the roots of a tree and snapped, "Lazy, destructive creature, ruining the forest!" and told all the animals so. But the fox had smelled smoke; he was digging a firebreak to stop a blaze creeping up the valley. By the time the owl understood, the fox had already saved a whole stretch of woodland - and the owl's hasty words. "I judged what I saw," the owl admitted, ashamed, "before I understood what I was looking at."	एक उल्लू ने देखा कि एक जवान लोमड़ी पेड़ की जड़ों के पास बेतहाशा खोद रही है, और वह झिड़क उठा, "आलसी, तोड़-फोड़ करने वाली, जंगल बरबाद कर रही है!" — और यही बात उसने सब जानवरों को बता दी। पर लोमड़ी को धुएँ की गंध आ गई थी; वह घाटी में ऊपर चढ़ती आग रोकने के लिए एक ख़ाई खोद रही थी। जब तक उल्लू को समझ आया, लोमड़ी जंगल का एक पूरा हिस्सा बचा चुकी थी — और उल्लू के जल्दबाज़ी में कहे शब्द भी। "मैंने जो देखा, उस पर फ़ैसला सुना दिया," उल्लू ने शर्मिंदा होकर माना, "यह समझने से पहले कि मैं देख क्या रहा था।"
Understand first; judge later - or you may scold the very one who is saving you.	पहले समझो, फ़ैसला बाद में — वरना डाँट उसी को पड़ जाएगी, जो तुम्हें बचा रहा है।
Before you decide what someone is, little one, find out what they're doing and why. Most stories look different up close.	किसी के बारे में राय बनाने से पहले, नन्ही जान, यह पता करना कि वो कर क्या रहा है और क्यों। ज़्यादातर कहानियाँ पास से अलग दिखती हैं।
The Drummer Ants	ताल पर चलती चींटियाँ
A colony of ants faced a stream too wide to cross, and they pushed and scrambled in a panicked, useless crowd. Then one small ant began to tap a steady rhythm - tap, tap, tap - and the others, almost without thinking, began to move in time. Together, in rhythm, they linked legs and bodies into a living bridge and crossed the water as one. "We were the same ants a moment ago," they marvelled. "All that changed was that we moved together."	चींटियों की एक बस्ती के सामने एक ऐसी धारा आ गई जो पार करने के लिए बहुत चौड़ी थी, और वे घबराई हुई, बेकार की भीड़ बनकर धक्का-मुक्की करने लगीं। तभी एक नन्ही चींटी ने एक ठहरी हुई ताल पीटनी शुरू की — टप, टप, टप — और बाक़ी सब, लगभग बिना सोचे, उसी ताल पर चलने लगीं। साथ-साथ, एक ही लय में, उन्होंने अपने पैर और शरीर जोड़कर एक ज़िंदा पुल बनाया और पानी को एक होकर पार कर लिया। "अभी थोड़ी देर पहले हम वही चींटियाँ थीं," उन्होंने हैरान होकर कहा। "बदला बस इतना कि हम साथ चलने लगे।"
A crowd becomes a force the moment it moves as one.	भीड़ उसी पल ताक़त बन जाती है, जब वो एक होकर चलती है।
Alone you are strong, little one. In step with others, you can build a bridge across almost anything.	अकेले भी तुममें ताक़त है, नन्ही जान। और औरों के साथ क़दम मिल जाएँ, तो लगभग किसी भी चीज़ पर पुल बन सकता है।
The Leap of Hanuman	हनुमान की छलांग
Long ago, a mighty figure named Hanuman stood at the edge of the sea, which stretched so far that no shore could be seen on the other side. His friends needed him to cross it, but the water was endless and his heart filled with doubt. Then a wise voice reminded him of who he truly was - that strength beyond measure had always slept inside him, waiting only to be remembered. Hanuman breathed deep, grew vast as a mountain, and leapt. He flew over the whole ocean in a single bound, clearing clouds and crests, because once he believed in his own strength, nothing could hold him back.	बहुत पुरानी बात है। हनुमान नाम का एक बलशाली वीर समंदर के किनारे खड़ा था — समंदर इतना फैला हुआ कि दूसरा किनारा कहीं दिखता ही नहीं था। उसके साथियों को उसका पार जाना ज़रूरी था, पर पानी अंतहीन था और उसका मन शक से भर गया। तभी एक समझदार आवाज़ ने उसे याद दिलाया कि वह असल में है कौन — कि नाप से बाहर की ताक़त हमेशा से उसके भीतर सोई थी, बस याद किए जाने का इंतज़ार करती हुई। हनुमान ने गहरी साँस ली, पहाड़ जितना विशाल हुआ, और छलांग लगा दी। वह पूरे समंदर के ऊपर से एक ही छलांग में उड़ गया, बादलों और लहरों को चीरता हुआ — क्योंकि जिस पल उसने अपनी ताक़त पर भरोसा किया, उसे कोई रोक नहीं सका।
One day you'll face your own ocean, little one. I'll be the voice that reminds you how strong you already are.	एक दिन तुम्हारे सामने भी तुम्हारा अपना समंदर होगा, नन्ही जान। मैं वो आवाज़ रहूँगा, जो याद दिलाएगी कि तुममें कितनी ताक़त पहले से है।
Abhimanyu, Who Listened in the Womb	अभिमन्यु, जिसने माँ के गर्भ में सुना
Long ago, before the brave warrior Abhimanyu was even born, his father told his mother the secret of breaking into a great spiral battle formation. Curled and listening inside her, the unborn child drank in every word - how to enter, how to fight his way in, ring by ring. But his mother drifted to sleep before the telling of how to come out again, and so the child learned only half. Years later, grown and bold, Abhimanyu broke into that very formation exactly as he had heard in the dark before his birth. Even before they are born, the old tellers said, children are listening - and what we say around them takes root.	बहुत पुरानी बात है — वीर योद्धा अभिमन्यु के जन्म से भी पहले, उसके पिता ने उसकी माँ को एक बड़े चक्रव्यूह में घुसने का रहस्य सुनाया। माँ के भीतर सिमटा हुआ, सुनता हुआ, वह अजन्मा बच्चा एक-एक शब्द पी गया — कैसे घुसना है, कैसे घेरा दर घेरा लड़ते हुए भीतर बढ़ना है। पर उसकी माँ को नींद आ गई, इससे पहले कि बाहर निकलने का तरीक़ा बताया जाता, और इसलिए बच्चे ने बस आधा ही सीखा। बरसों बाद, बड़ा और निडर, अभिमन्यु उसी व्यूह में ठीक वैसे ही घुसा, जैसे उसने जन्म से पहले अँधेरे में सुना था। पुराने क़िस्सागो कहते थे: जन्म से पहले भी बच्चे सुन रहे होते हैं — और जो हम उनके आसपास कहते हैं, वह जड़ पकड़ लेता है।
You're listening to me right now, little one, long before you can understand. So I'll fill these days with words worth keeping.	मेरी आवाज़ अभी इसी वक़्त तुम तक पहुँच रही है, नन्ही जान, समझ आने से बहुत पहले। इसलिए मैं इन दिनों को ऐसे शब्दों से भरूँगा, जो सँभालने लायक़ हों।
Ganesha Circles His Parents	गणेश ने माँ-बाप की परिक्रमा की
Two divine brothers were set a contest: whoever could circle the whole world three times would win the prize. The swift one leapt upon his mount and sped off around the earth, sure of victory. But round little Ganesha simply walked three slow circles around his mother and father, then bowed. "The contest was the world," the judges said. "And you are my whole world," answered Ganesha, gesturing to his parents. He was given the prize - not for speed, but for wisdom. Sometimes the greatest journey is the small circle you make around the ones you love.	दो देव भाइयों के बीच एक होड़ रखी गई: जो भी पूरी दुनिया के तीन चक्कर पहले लगा ले, इनाम उसी का। तेज़ चलने वाला भाई अपने वाहन पर सवार होकर धरती के चक्कर लगाने निकल पड़ा, जीत का पूरा भरोसा लिए। पर गोल-मटोल छोटे गणेश ने बस अपनी माँ और अपने पिता के चारों ओर तीन धीमे चक्कर लगाए, और सिर झुका दिया। "होड़ तो दुनिया की थी," फ़ैसला करने वालों ने कहा। "और मेरी पूरी दुनिया यही हैं," गणेश ने अपने माँ-बाप की ओर इशारा करते हुए जवाब दिया। इनाम उन्हें ही मिला — तेज़ी के लिए नहीं, समझ के लिए। कभी-कभी सबसे बड़ी यात्रा वही छोटा-सा घेरा होती है, जो हम अपने चाहने वालों के चारों ओर बनाते हैं।
You don't have to race around the world to make me proud, little one. Some of the wisest journeys are the short ones, made with love.	मुझे गर्व महसूस कराने के लिए तुम्हें दुनिया के चक्कर लगाने की ज़रूरत नहीं, नन्ही जान। सबसे समझदार यात्राओं में कई छोटी ही होती हैं, प्यार से तय की हुई।
Krishna Lifts the Hill	कृष्ण ने पहाड़ उठाया
When fierce storms came to flood a village, the people trembled, for they had always begged the sky for mercy and still the rains came. A young cowherd named Krishna told them to look instead to their own hill, which sheltered and fed them all year. Then, as the skies broke open, he lifted the entire hill upon one finger and held it high like a great umbrella, and the whole village - people, cattle, and all - sheltered beneath it, dry and safe, until the storm wore itself out. He asked for no worship, only that they remember who truly shelters them.	जब भयंकर तूफ़ान एक गाँव को डुबोने आए, तो लोग काँप उठे — वे हमेशा आसमान से दया माँगते आए थे, और फिर भी बारिश आती ही रही। कृष्ण नाम के एक जवान ग्वाले ने उनसे कहा कि वे अपने ही पहाड़ की तरफ़ देखें, जो साल भर उन्हें आसरा और खाना देता है। फिर, जैसे ही आसमान फटा, उसने पूरा पहाड़ एक उँगली पर उठा लिया और किसी बड़े छाते की तरह ऊपर थाम लिया, और पूरा गाँव — लोग, गाय-बैल, सब — उसके नीचे सूखा और महफ़ूज़ बैठा रहा, जब तक तूफ़ान ख़ुद थक न गया। उसने पूजा नहीं माँगी, बस इतना कि लोग याद रखें कि उन्हें असल में आसरा कौन देता है।
If the storms ever come for you, little one, I'll be your hill - holding the sky off you until the worst has passed.	अगर कभी तूफ़ान तुम्हारी तरफ़ आएँ, नन्ही जान, तो मैं तुम्हारा पहाड़ बनूँगा — तुम्हारे ऊपर आसमान थामे हुए, जब तक सबसे बुरा गुज़र न जाए।
Shravan and His Parents	श्रवण और उसके माँ-बाप
Long ago a devoted son named Shravan cared for his aged, blind parents, who longed to visit the holy rivers before they grew too old. Too poor for a cart, Shravan made a sling of bamboo, seated his mother and father in baskets on either end, balanced the pole across his own shoulders, and carried them on foot across forests and hills to every sacred place they wished to see. He never once complained of the weight. The old tellers held him up forever after as the very picture of a child's love - proof that the care our parents give us is meant, one day, to be gently carried back.	बहुत पुरानी बात है। श्रवण नाम का एक भक्त बेटा अपने बूढ़े, नेत्रहीन माँ-बाप की सेवा करता था, जिनकी इच्छा थी कि बहुत बूढ़े होने से पहले वे पवित्र नदियों के दर्शन कर लें। गाड़ी के लिए पैसे नहीं थे, तो श्रवण ने बाँस की एक कावड़ बनाई, माँ और पिता को दोनों सिरों की टोकरियों में बिठाया, बाँस अपने कंधों पर सँभाला, और उन्हें पैदल ही जंगलों और पहाड़ों के पार, हर उस तीर्थ तक ले गया जो वे देखना चाहते थे। उसने वज़न की शिकायत एक बार भी नहीं की। पुराने क़िस्सागो हमेशा उसे संतान के प्रेम की सबसे साफ़ तस्वीर बताते रहे — इस बात का सबूत कि माँ-बाप जो सेवा हमें देते हैं, वह एक दिन नरमी से लौटाई जाने के लिए ही होती है।
I'll carry you when you're small, little one. Whatever you do with your life, I hope you carry kindness the way Shravan did.	जब तक तुम्हारे क़दम छोटे हैं, तुम्हें मैं उठाकर चलूँगा, नन्ही जान। आगे ज़िंदगी में जो भी करना, बस उम्मीद है कि नरमी को वैसे ही साथ लिए चलना, जैसे श्रवण ने ली थी।
Eklavya's Devotion	एकलव्य की लगन
A forest boy named Eklavya longed to learn archery from the greatest teacher in the land, but the master would not take him. Undefeated, Eklavya shaped a humble statue of the teacher from clay, set it before him, and practised every single day with that silent image as his guide. Through nothing but devotion and relentless effort, he taught himself a skill to rival the finest archers in any kingdom. The tellers remembered him not for any prize, for his story holds its share of sorrow - but for a truth that outshone it: a heart set fully on its purpose can teach itself almost anything.	एकलव्य नाम का एक वनवासी लड़का देश के सबसे बड़े गुरु से धनुर्विद्या सीखना चाहता था, पर गुरु ने उसे शिष्य बनाने से मना कर दिया। हार माने बिना, एकलव्य ने मिट्टी से गुरु की एक सादी मूरत गढ़ी, उसे अपने सामने रखा, और उसी ख़ामोश मूरत को अपना मार्गदर्शक मानकर हर एक दिन अभ्यास किया। सिर्फ़ लगन और लगातार मेहनत के दम पर उसने ख़ुद को ऐसा हुनर सिखा लिया, जो किसी भी राज्य के सबसे बेहतरीन धनुर्धरों के बराबर था। क़िस्सागो उसे किसी इनाम के लिए याद नहीं रखते — क्योंकि उसकी कहानी में दुख का अपना हिस्सा है — बल्कि उस सच के लिए, जो उस दुख से भी ज़्यादा चमकता है: जो मन पूरी तरह अपने मक़सद पर टिक जाए, वह ख़ुद को लगभग कुछ भी सिखा सकता है।
If a door you knock on won't open, little one, you can still teach yourself wonders. Devotion is its own kind of teacher.	जिस दरवाज़े पर दस्तक दो और वो न खुले, नन्ही जान, तो भी ख़ुद को कमाल की चीज़ें सिखाई जा सकती हैं। लगन ख़ुद में एक गुरु होती है।
Arjuna and the Eye of the Bird	अर्जुन और चिड़िया की आँख
A teacher set a wooden bird high in a tree and asked each young archer what he saw before he drew his bow. "I see the tree, the branches, the leaves, the bird," said one. "I see the garden and the sky," said another. He told them all to lower their bows. Then he came to Arjuna. "What do you see?" "Only the eye of the bird," said Arjuna. "Nothing else - not the tree, not the branch, not even the whole bird." "Then shoot," said the teacher. The arrow flew true. "That," he told the others, "is what it means to truly aim."	एक गुरु ने पेड़ पर ऊँचाई पर लकड़ी की एक चिड़िया टाँग दी और हर नौजवान धनुर्धर से पूछा कि तीर चढ़ाने से पहले उसे क्या दिख रहा है। "मुझे पेड़ दिखता है, टहनियाँ, पत्ते, और चिड़िया," एक ने कहा। "मुझे बग़ीचा और आसमान दिखता है," दूसरे ने कहा। गुरु ने सबसे धनुष नीचे करा दिए। फिर वे अर्जुन के पास आए। "तुम्हें क्या दिखता है?" "बस चिड़िया की आँख," अर्जुन ने कहा। "और कुछ नहीं — न पेड़, न टहनी, न पूरी चिड़िया तक।" "तो चलाओ," गुरु ने कहा। तीर सीधा जा लगा। "यही," उन्होंने बाक़ी सबसे कहा, "सचमुच निशाना लगाना कहलाता है।"
When something matters, little one, give it your whole gaze. The world quiets, and the target comes clear, for those who truly look.	जब कोई चीज़ सचमुच मायने रखे, नन्ही जान, तो उस पर पूरी नज़र टिका देना। जो सचमुच देखते हैं, उनके लिए दुनिया शांत हो जाती है और निशाना साफ़ दिखने लगता है।
Dhruva and the Pole Star	ध्रुव और ध्रुवतारा
A small prince named Dhruva, turned away and told he was not worthy of his father's lap, did not sulk or rage. Instead he set off alone to seek something no one could ever take from him. With astonishing steadiness for one so young, he held to his purpose through cold and hunger and fear, refusing to be moved. So unshakable was his resolve that, the old stories say, he was lifted to the night sky and set there as the Pole Star - the one star that never wanders, around which all the others turn. Travellers have steered by his steadiness ever since.	ध्रुव नाम का एक नन्हा राजकुमार, जिसे पिता की गोद से हटाकर कह दिया गया कि वह उसके लायक़ नहीं, न रूठा और न ग़ुस्सा हुआ। उसके बजाय वह अकेला ही कुछ ऐसा खोजने निकल पड़ा, जिसे कोई उससे कभी छीन न सके। इतनी छोटी उम्र में हैरान कर देने वाली दृढ़ता के साथ, वह ठंड, भूख और डर के बीच अपने इरादे पर टिका रहा, टस से मस हुए बिना। उसका संकल्प इतना अटल था कि, पुरानी कहानियाँ कहती हैं, उसे रात के आसमान में उठाकर ध्रुवतारे की तरह जड़ दिया गया — वह इकलौता तारा जो कभी नहीं भटकता, और जिसके चारों ओर बाक़ी सब घूमते हैं। तब से मुसाफ़िर उसी की स्थिरता के सहारे रास्ता तय करते आए हैं।
Find the thing in you that won't be moved, little one, and hold it. The whole sky learns to turn around a steady heart.	अपने भीतर वो चीज़ ढूँढ लेना जो हिलती नहीं, नन्ही जान, और उसे थामे रखना। पूरा आसमान एक ठहरे हुए दिल के चारों ओर घूमना सीख जाता है।
Bhagiratha Brings the River	भगीरथ नदी को धरती पर लाए
A king named Bhagiratha set himself an impossible task: to bring the great heavenly river down to the parched earth to heal his people. It could not be done in a single lifetime, nor two. He gave years to it, and when he could give no more, those who came after took up his unfinished work, and those after them again, until at last the mighty river came thundering down from the heavens to bless the land - and it has flowed ever since. The tellers gave his name to any great effort carried across generations, begun by one who knew he might never see it done.	भगीरथ नाम के एक राजा ने अपने सामने एक नामुमकिन काम रखा: स्वर्ग की महान नदी को सूखी धरती पर उतार लाना, ताकि उनके लोगों को जीवन मिले। यह एक जीवन में नहीं हो सकता था, न दो में। उन्होंने इसे बरसों दिए, और जब और नहीं दे सके, तो उनके बाद आने वालों ने वह अधूरा काम उठा लिया, और उनके बाद वालों ने फिर — जब तक आख़िर में वह विशाल नदी गरजती हुई आसमान से उतरकर धरती को हरा न कर गई; और वह तब से बहती चली आ रही है। क़िस्सागो उनका नाम हर उस बड़े काम को देते रहे, जो पीढ़ियों तक चलता है और जिसे किसी ऐसे इंसान ने शुरू किया हो, जो जानता था कि शायद वह उसे पूरा होते नहीं देखेगा।
Some of what I begin for you, little one, I may never see finished. I'll begin it anyway. That's what fathers are for.	तुम्हारे लिए मैं जो कुछ शुरू कर रहा हूँ, नन्ही जान, शायद उसमें से कुछ पूरा होते मैं देख भी न पाऊँ। फिर भी शुरू करूँगा। पिता इसीलिए तो होते हैं।
Nachiketa's Brave Questions	नचिकेता के निडर सवाल
A boy named Nachiketa was sent, through a hasty word, to the house of Death itself. Most would have trembled. But Nachiketa waited patiently at the door for three days, and when Death returned and offered him any gift to make amends, the boy did not ask for riches or long life. He asked the hardest question of all: what truly lasts, beyond all that fades? Death tried to tempt him with treasures instead, but the boy would not be turned aside. Impressed by such courage, Death taught him the deepest wisdom - given, in the end, only because the boy was brave enough to ask.	नचिकेता नाम का एक लड़का, एक जल्दबाज़ी में कहे शब्द की वजह से, ख़ुद मृत्यु के घर भेज दिया गया। ज़्यादातर लोग काँप जाते। पर नचिकेता तीन दिन तक सब्र से दरवाज़े पर बैठा इंतज़ार करता रहा, और जब मृत्यु लौटी और भरपाई के तौर पर उसे कोई भी वरदान माँगने को कहा, तो लड़के ने न धन माँगा, न लंबी उम्र। उसने सबसे कठिन सवाल पूछा: सब कुछ मिट जाने के बाद भी असल में टिकता क्या है? मृत्यु ने उसे ख़ज़ानों का लालच देकर बहलाना चाहा, पर लड़का टस से मस नहीं हुआ। इतनी हिम्मत से प्रभावित होकर मृत्यु ने उसे सबसे गहरा ज्ञान दिया — जो आख़िर में उसे सिर्फ़ इसलिए मिला, क्योंकि उस लड़के में पूछने की हिम्मत थी।
Never be afraid of the big questions, little one. Ask them boldly. The bravest minds are the ones still curious in the dark.	बड़े सवालों से कभी मत डरना, नन्ही जान। उन्हें डटकर पूछना। सबसे बहादुर दिमाग़ वही हैं, जो अँधेरे में भी जिज्ञासु रहते हैं।
Prahlada's Unshaken Heart	प्रह्लाद का अडिग मन
Young Prahlada believed quietly but completely in a goodness greater than any king, even when his powerful father forbade it and tried every threat to frighten him out of it. Through every storm of anger sent his way, the boy stayed calm and kind, never hating his father in return, simply holding to what he knew in his heart was true. In the end no force could shake him, and goodness itself, the old stories say, rose up to protect the child who had trusted it. His name became a byword for a heart that bends to no fear.	नन्हा प्रह्लाद चुपचाप, पर पूरी तरह, एक ऐसी अच्छाई पर भरोसा करता था जो किसी भी राजा से बड़ी है — तब भी, जब उसके ताक़तवर पिता ने इसे मना किया और उसे डराने के लिए हर तरह की धमकी आज़मा ली। अपनी ओर आए ग़ुस्से के हर तूफ़ान के बीच लड़का शांत और नरम बना रहा, बदले में अपने पिता से कभी नफ़रत नहीं की, बस उसी को थामे रहा जिसे उसका मन सच जानता था। आख़िर में कोई ताक़त उसे हिला न सकी, और पुरानी कहानियाँ कहती हैं कि अच्छाई ख़ुद उस बच्चे की रक्षा करने उठ खड़ी हुई, जिसने उस पर भरोसा किया था। उसका नाम ऐसे मन की मिसाल बन गया, जो किसी डर के आगे नहीं झुकता।
Hold to what you know is good, little one, even if you must hold it alone. A steady, kind heart is stronger than any threat.	जिसे तुम सही जानो, उसे थामे रखना, नन्ही जान, चाहे अकेले ही थामना पड़े। एक ठहरा हुआ, नरम मन हर धमकी से ज़्यादा मज़बूत होता है।
Markandeya and the Gift of Time	मार्कंडेय और समय का वरदान
A boy named Markandeya was blessed with brilliance but destined for a very short life. As his final hour drew near, he did not despair; he gave himself wholly, with his whole heart, to what he loved and believed in. When Death came for him, the boy held so fully to the source of all life, with such pure devotion, that even Death was stayed - and the stories say the boy was granted to remain ever young, untouched by time. It is not the length of a life that makes it great, the tellers said, but the wholeness with which it is lived.	मार्कंडेय नाम का एक लड़का असाधारण प्रतिभा लेकर जन्मा था, पर उसकी उम्र बहुत छोटी लिखी थी। जब उसकी आख़िरी घड़ी पास आई, तो वह टूटा नहीं; उसने ख़ुद को पूरे मन से उसी को सौंप दिया, जिससे वह प्रेम करता था और जिस पर उसका भरोसा था। जब मृत्यु उसे लेने आई, तो लड़का जीवन के मूल स्रोत को इतनी पूरी तरह, इतनी सच्ची भक्ति से थामे हुए था कि मृत्यु तक ठहर गई — और कहानियाँ कहती हैं कि उस लड़के को हमेशा युवा रहने का वरदान मिला, समय की पहुँच से बाहर। क़िस्सागो कहते थे: जीवन को महान उसकी लंबाई नहीं बनाती, बल्कि वो पूर्णता बनाती है जिससे उसे जिया जाए।
However long your days, little one, live them whole and bright. A life is measured by its depth, never only its length.	तुम्हारे दिन जितने भी हों, नन्ही जान, उन्हें पूरा और रोशन जीना। ज़िंदगी उसकी गहराई से नापी जाती है, कभी सिर्फ़ उसकी लंबाई से नहीं।
The Churning of the Ocean	समुद्र मंथन
Long ago, gods and demons both wanted the nectar of life, hidden deep in the sea of milk. Alone, neither side could reach it. So - enemies though they were - they wound a great serpent around a mountain and used it as a rope, one side pulling, then the other, churning the vast ocean together for ages. Many wonders rose from the swirling waters, and at long last the nectar itself. The old tellers loved this tale for its quiet lesson: even those who pull in different directions can, by working the same rope together, bring forth something neither could have won alone.	बहुत पुरानी बात है। देवता और दैत्य, दोनों को जीवन का अमृत चाहिए था, जो क्षीरसागर की गहराई में छिपा था। अकेले, कोई भी पक्ष उस तक नहीं पहुँच सकता था। तो — दुश्मन होते हुए भी — उन्होंने एक विशाल नाग को एक पहाड़ के चारों ओर लपेटा और उसे रस्सी की तरह इस्तेमाल किया: एक तरफ़ से खींचते, फिर दूसरी तरफ़ से; और युगों तक साथ मिलकर उस विशाल सागर को मथते रहे। घूमते पानी से कई अनमोल चीज़ें निकलीं, और बहुत देर बाद अमृत भी। पुराने क़िस्सागो इस कथा को उसके शांत सबक़ के लिए चाहते थे: जो अलग-अलग दिशाओं में खींचते हैं, वे भी एक ही रस्सी साथ मिलकर खींचकर कुछ ऐसा निकाल सकते हैं, जो अकेले कोई नहीं पा सकता था।
Great things often need many hands, little one - even hands that disagree. Learn to pull the same rope, and oceans give up their treasure.	बड़े काम अक्सर बहुत सारे हाथ माँगते हैं, नन्ही जान — उन हाथों को भी जो आपस में सहमत नहीं। एक ही रस्सी खींचना सीख लो, तो समंदर भी अपना ख़ज़ाना दे देते हैं।
Savitri's Resolve	सावित्री का संकल्प
Savitri loved her husband so dearly that when Death came to carry him away, she would not turn back. She followed Death down the long road, step for step, speaking with such wisdom and such steady devotion that Death, impressed, offered her any boon - except her husband's life. Cleverly and lovingly, she asked for blessings that could only come true if her husband lived. Caught by her quick heart and her unbending love, Death at last relented and gave him back. Love joined to wisdom, the tellers said, can walk right up to the impossible and turn it around.	सावित्री अपने पति से इतना गहरा प्रेम करती थी कि जब मृत्यु उसे ले जाने आई, तो वह पीछे नहीं लौटी। वह मृत्यु के पीछे उस लंबे रास्ते पर चलती रही, क़दम से क़दम मिलाकर, और इतनी समझदारी और इतनी अडिग भक्ति से बात करती रही कि मृत्यु ने प्रभावित होकर उसे कोई भी वरदान माँगने को कहा — उसके पति के जीवन के सिवाय। बड़ी चतुराई और बड़े प्रेम से उसने ऐसे वरदान माँगे, जो तभी सच हो सकते थे जब उसका पति जीवित हो। उसके तेज़ मन और उसके न झुकने वाले प्रेम में फँसकर, मृत्यु आख़िर पिघल गई और पति को लौटा दिया। क़िस्सागो कहते थे: प्रेम जब समझ के साथ मिल जाए, तो वह नामुमकिन के ठीक सामने जाकर उसे पलट सकता है।
Love hard, little one, and think clearly while you do. A devoted heart with a quick mind can soften the hardest road.	दिल खोलकर प्रेम करना, नन्ही जान, और करते हुए दिमाग़ भी साफ़ रखना। भक्ति से भरा दिल और तेज़ दिमाग़ मिलकर सबसे कठिन रास्ता भी नरम कर देते हैं।
Prometheus and the Gift of Fire	प्रोमेथियस और आग का तोहफ़ा
In the old Greek tales, people shivered in the cold and the dark, for fire belonged only to the gods. One bold spirit named Prometheus could not bear to see them suffer. He carried a single spark down from the heavens, hidden in a hollow reed, and gave it to humankind. With it came warmth, and light, and the beginning of every craft and comfort we know. He paid dearly for his daring - but he never regretted it, for he had given a gift that would warm the world for all time. Some gifts, the tellers said, are worth any cost to the one who gives them.	पुरानी यूनानी कथाओं में, लोग ठंड और अँधेरे में ठिठुरते थे, क्योंकि आग सिर्फ़ देवताओं की थी। प्रोमेथियस नाम का एक निडर जीव उन्हें यूँ तकलीफ़ में देख नहीं सका। वह एक चिंगारी आसमान से नीचे ले आया, एक पोले सरकंडे में छिपाकर, और इंसानों को दे दी। उसी के साथ आई गरमाहट, रोशनी, और हर उस हुनर और आराम की शुरुआत जो हम आज जानते हैं। अपनी इस हिम्मत की उसने बहुत भारी क़ीमत चुकाई — पर उसे कभी अफ़सोस नहीं हुआ, क्योंकि उसने ऐसा तोहफ़ा दिया था जो दुनिया को हमेशा गरम रखेगा। क़िस्सागो कहते थे: कुछ तोहफ़े देने वाले के लिए हर क़ीमत के लायक़ होते हैं।
I'd carry fire down a mountain for you, little one. There's almost nothing a father won't give to keep his child warm.	तुम्हारे लिए मैं पहाड़ से आग उतार लाऊँ, नन्ही जान। अपने बच्चे को गरम रखने के लिए एक पिता लगभग सब कुछ दे देता है।
Icarus and the Wax Wings	इकारस और मोम के पंख
A clever maker named Daedalus built wings of feathers and wax so that he and his son Icarus could escape across the sea. "Fly the middle path," he warned. "Too low, and the sea-spray will weigh your wings; too high, and the sun will melt the wax." For a while they soared together. But young Icarus, drunk on the joy of flight, forgot his father's words and climbed higher and higher toward the sun - until the wax softened and he fell. The tellers kept the tale not to forbid us the sky, but to remind us that even soaring needs a steady, listening heart.	डेडेलस नाम के एक होशियार कारीगर ने परों और मोम से पंख बनाए, ताकि वह और उसका बेटा इकारस समंदर पार भाग सकें। "बीच का रास्ता उड़ना," उसने चेताया। "बहुत नीचे उड़े तो समंदर के छींटे पंख भारी कर देंगे; बहुत ऊपर उड़े तो सूरज मोम पिघला देगा।" कुछ देर वे साथ-साथ उड़ते रहे। पर जवान इकारस उड़ान की ख़ुशी में ऐसा डूबा कि पिता की बात भूल गया और सूरज की तरफ़ ऊँचा, और ऊँचा चढ़ता गया — जब तक मोम नरम न पड़ गया और वह गिर गया। क़िस्सागो यह कथा हमें आसमान से रोकने के लिए नहीं सँभालते रहे, बल्कि यह याद दिलाने के लिए कि ऊँची उड़ान को भी एक ठहरा हुआ, सुनने वाला मन चाहिए।
Fly, little one - fly high and bold. But keep a corner of your heart for the wisdom of those who've flown before you.	उड़ना, नन्ही जान — ऊँचा और बेख़ौफ़ उड़ना। पर दिल का एक कोना उनकी समझ के लिए भी बचाकर रखना, जो तुमसे पहले उड़ चुके हैं।
