Hinduism	हिन्दू धर्म
Contentment as wealth	संतोष ही असली दौलत
Being at peace with what is, is seen as a deep kind of richness. Small this-is-enough moments are worth savouring amid the unknowns.	जो है उसी में चैन पा लेना एक गहरी दौलत माना जाता है। अनजानी बातों के बीच वे छोटे-छोटे पल, जब लगता है इतना काफ़ी है, धीरे-धीरे जीने लायक़ हैं।
Fearless, gentle love	निडर, कोमल प्यार
Love here is both fearless and tender, brave and soft at once. That is exactly the love already forming for your baby.	यहाँ प्यार निडर भी है और कोमल भी — एक ही साथ बहादुर और नरम। ठीक ऐसा ही प्यार आपके भीतर अपने बच्चे के लिए अभी से बन रहा है।
Truthful living	सच्चा जीवन
Living truthfully, in word and deed, is valued above show. The honest, steady choices you make now become ground your child will stand on.	बोल और काम, दोनों में सच्चाई से जीना दिखावे से ऊपर रखा गया है। अभी आप जो ईमानदार, टिके हुए फ़ैसले लेती हैं, वही वह ज़मीन बनते हैं जिस पर आपका बच्चा खड़ा होगा।
Humble and upright	विनम्र और सीधा
Humility paired with quiet strength is admired. There is rest in not needing to prove anything, only to live well.	विनम्रता के साथ चुपचाप वाली ताक़त — इसकी बड़ी सराहना है। कुछ साबित न करना पड़े, बस ढंग से जी लेना हो — इसमें अपना ही आराम है।
Hope as a discipline	उम्मीद, एक अभ्यास की तरह
Keeping hope alive, almost as a practice, is cherished here. You can return to hope again and again, like coming back to a warm room.	उम्मीद को ज़िंदा रखना, लगभग एक अभ्यास की तरह — यहाँ इसे बहुत माना जाता है। आप बार-बार उम्मीद पर लौट सकती हैं, जैसे किसी गर्म कमरे में लौट आती हों।
Inner calm & remembrance	भीतर की शांति और सिमरन
Returning to a still centre	अपने ठहरे हुए केंद्र पर लौटना
Gentle remembrance, quietly bringing the mind back to a still, grateful centre, is a loved practice. It is a bit like meditation: not emptying the mind, just returning to calm whenever it wanders.	नरम सिमरन — मन को चुपचाप एक ठहरे हुए, शुक्रगुज़ार केंद्र पर लौटा लाना — बहुत प्यारा अभ्यास माना जाता है। यह कुछ-कुछ ध्यान जैसा है: मन को ख़ाली करना नहीं, बस जब-जब वह भटके, शांति पर लौट आना।
A settled, hopeful mind	ठहरा हुआ, उम्मीद भरा मन
Keeping a steady, hopeful mind is valued over anxious striving. When worry rises, you can let it pass like a cloud and settle again into trust.	बेचैन भागदौड़ से ज़्यादा क़द्र एक टिके हुए, उम्मीद भरे मन की है। जब फ़िक्र उठे, उसे बादल की तरह गुज़र जाने दीजिए और फिर भरोसे में बैठ जाइए।
Contentment	संतोष
Contentment, being at peace with what is, is held as a deep kind of wealth. Even amid the unknowns of pregnancy, small moments of this-is-enough are worth savouring.	संतोष — जो है उसी में चैन पा लेना — एक गहरी दौलत माना गया है। गर्भावस्था की अनजानी बातों के बीच भी वे छोटे पल, जब लगता है इतना काफ़ी है, धीरे-धीरे जीने लायक़ हैं।
Calm you can share	वह शांति जो बँट जाती है
A peaceful inner state is not only for you; it ripples outward to those around you, including the little one you carry. Tending your calm is a gift you are already giving.	भीतर का सुकून सिर्फ़ आपका नहीं रहता; वह लहर बनकर आस-पास वालों तक पहुँचता है, और उस नन्हे तक भी जिसे आप लिए चल रही हैं। अपनी शांति को सँभालना ख़ुद एक तोहफ़ा है, जो आप अभी से दे रही हैं।
Letting go of fear	डर को जाने देना
This tradition gently encourages trust over fear, leaning on something larger than yourself. On heavy days, it can help simply to set a worry down and breathe.	यह परंपरा नरमी से कहती है कि डर की जगह भरोसा रखिए, और अपने से बड़े किसी सहारे पर टिक जाइए। भारी दिनों में बस एक फ़िक्र नीचे रख देना और साँस ले लेना ही काफ़ी मदद कर देता है।
Coming back to centre	केंद्र पर वापसी
Gently bringing the mind back to a still, grateful centre is a loved practice. Like meditation, it is not about emptying the mind, just returning to calm.	मन को नरमी से एक ठहरे हुए, शुक्रगुज़ार केंद्र पर लौटा लाना एक प्यारा अभ्यास है। ध्यान की तरह, इसमें मन को ख़ाली नहीं करना होता — बस शांति पर लौट आना होता है।
A steady, hopeful mind	टिका हुआ, उम्मीद भरा मन
A settled, hopeful mind is valued over anxious striving. When worry rises, you can let it drift past like a cloud and settle again.	बेचैन भागदौड़ से ज़्यादा क़द्र एक ठहरे हुए, उम्मीद भरे मन की है। जब फ़िक्र उठे, उसे बादल की तरह बहकर निकल जाने दीजिए और फिर से ठहर जाइए।
Remembrance as comfort	सिमरन, एक तसल्ली
Quietly remembering what is good and larger than yourself can steady a restless heart. A few calm minutes of it can soften a hard afternoon.	जो अच्छा है और जो आपसे बड़ा है, उसे चुपचाप याद कर लेना बेचैन मन को थाम लेता है। ऐसे कुछ शांत मिनट किसी भारी दोपहर को नरम कर देते हैं।
Calm that ripples	शांति, जो फैलती है
Your inner peace does not stay with you alone; it reaches the little one you carry. Tending your calm is already a gift to your baby.	आपके भीतर का सुकून सिर्फ़ आप तक नहीं रुकता; वह उस नन्हे तक भी पहुँचता है जिसे आप लिए चल रही हैं। अपनी शांति सँभालना अभी से आपके बच्चे के लिए एक तोहफ़ा है।
Setting fear down	डर को नीचे रख देना
Trust over fear is gently encouraged here. On anxious days, simply setting a worry down and breathing can be enough.	यहाँ नरमी से कहा गया है कि डर की जगह भरोसा रखिए। घबराहट वाले दिनों में बस एक फ़िक्र नीचे रख देना और साँस ले लेना ही काफ़ी होता है।
The ease of repetition	दोहराने का सुकून
Softly repeating a word or phrase you love can settle a busy mind, much like a lullaby. Choose your own gentle words and return to them.	अपना कोई पसंदीदा शब्द या वाक्य धीरे-धीरे दोहराते रहना भागते हुए मन को बैठा देता है, ठीक किसी लोरी की तरह। अपने नरम शब्द ख़ुद चुन लीजिए और बार-बार उन्हीं पर लौटिए।
Right here, right now	यहीं, इसी पल
Returning to the present moment, this breath, this room, is calming and always available. The future will keep; you only have to meet now.	इसी पल पर लौट आना — इसी साँस पर, इसी कमरे पर — मन को शांत करता है, और यह हमेशा हाथ में रहता है। आने वाला कल रुका रहेगा; आपको बस अभी से मिलना है।
Stillness as strength	ठहराव ही ताक़त है
Quiet stillness is treasured, not as doing nothing but as gathering yourself. A few still minutes a day strengthen you for the rest.	शांत ठहराव को क़ीमती माना गया है — कुछ न करना नहीं, बल्कि ख़ुद को समेट लेना। दिन में कुछ ठहरे हुए मिनट बाक़ी सारे दिन के लिए ताक़त दे जाते हैं।
Breath as an anchor	साँस, एक लंगर की तरह
Slow, even breathing is one of the simplest ways back to calm. Lengthening the out-breath a little quietly shares that ease with your baby.	धीमी और बराबर साँस शांति पर लौटने का सबसे आसान रास्ता है। छोड़ी जाने वाली साँस को थोड़ा लंबा कर देना वही सुकून चुपचाप आपके बच्चे तक पहुँचा देता है।
Gratitude as remembrance	शुक्र भी एक सिमरन है
Recalling small blessings is itself a kind of remembrance that lifts the heart. Naming one good thing can shift a whole mood.	छोटी-छोटी रहमतों को याद कर लेना ख़ुद एक तरह का सिमरन है, जो मन को उठा देता है। एक अच्छी बात का नाम ले लेना पूरा मिज़ाज बदल सकता है।
A quieter morning	थोड़ी शांत सुबह
Beginning the day with a little stillness sets a gentler tone for all that follows. Even five quiet minutes before the rush can help.	दिन की शुरुआत थोड़े ठहराव से करना आगे के सारे घंटों का सुर नरम कर देती है। भागदौड़ शुरू होने से पहले के पाँच शांत मिनट भी बहुत हैं।
Peace, not perfection	सुकून चाहिए, सबकुछ ठीक-ठाक नहीं
The aim is a peaceful heart, not a perfectly tidy mind. Some wandering is normal; the practice is simply coming back.	मक़सद एक शांत दिल है, पूरी तरह सुलझा हुआ मन नहीं। मन का थोड़ा भटकना आम बात है; अभ्यास तो बस लौट आने का है।
Held by something larger	किसी बड़े सहारे में थमा हुआ
Leaning on something larger than yourself can ease the weight you carry. You are not holding all of this alone.	अपने से बड़े किसी सहारे पर टिक जाना उस बोझ को हल्का कर देता है जो आप उठाए हुए हैं। यह सब आप अकेले नहीं थामे हुए हैं।
Letting the day soften	दिन को नरम पड़ने देना
Easing into evening with a calm wind-down helps both body and mind settle. Dimming the lights and slowing your breath signals it is safe to rest.	शाम में धीरे-धीरे उतरना, रफ़्तार कम करते हुए, शरीर और मन दोनों को बैठा देता है। रौशनी मद्धम कर देना और साँस धीमी कर लेना शरीर को बता देता है कि अब आराम करना सुरक्षित है।
Contentment, returned to	संतोष, जिस पर बार-बार लौटा जाता है
Contentment is less a feeling that arrives and more a place you return to. Each return, however brief, is worth it.	संतोष कोई ऐसा एहसास नहीं जो आ जाए — वह एक ऐसी जगह है जहाँ बार-बार लौटा जाता है। हर लौटना, चाहे कितना भी छोटा हो, अपने आप में क़ीमती है।
Seva & community	सेवा और संगत
Service with love	प्यार से की गई सेवा
Selfless service, helping others without expecting anything back, is central to Sikh life. The unseen care you give your baby every day is service of the purest kind.	निस्वार्थ सेवा — बिना कुछ वापस चाहे दूसरों की मदद करना — सिख जीवन के बीचोंबीच है। अपने बच्चे के लिए आप रोज़ जो अनदेखी देखभाल करती हैं, वह सबसे शुद्ध क़िस्म की सेवा है।
The shared meal	साझा लंगर
The tradition of a free community kitchen, where all sit together as equals and are fed, is much loved. Its spirit, everyone welcome and everyone cared for, is a beautiful one to bring into your home.	लंगर की परंपरा — जहाँ सब बराबरी से एक साथ बैठते हैं और सबको खाना मिलता है — बहुत प्यारी मानी जाती है। उसकी भावना, कि हर कोई अपना है और हर किसी का ख़याल रखा जाए, अपने घर में ले आने लायक़ है।
Lean on your community	अपनी संगत का सहारा लीजिए
Just as service is given, it is also meant to be received. Letting your community support you now is part of the same circle of care.	सेवा जितनी दी जाती है, उतनी ही लेने के लिए भी होती है। अभी अपनी संगत को अपना साथ देने देना उसी देखभाल के घेरे का हिस्सा है।
Small kindnesses	छोटी-छोटी नेकियाँ
Grand gestures are not required; small, steady kindnesses are the heart of it. A warm word, a helping hand, a shared meal, these are enough.	बड़े-बड़े कामों की ज़रूरत नहीं; छोटी और लगातार नेकियाँ ही इसका दिल हैं। एक गर्म बोल, एक मदद का हाथ, एक साथ खाया गया खाना — इतना काफ़ी है।
Caring for others is something children learn by watching. The gentleness you live now quietly plants those seeds in your little one.	दूसरों का ख़याल रखना बच्चे देखकर सीखते हैं। आप अभी जो नरमी जीती हैं, वह चुपचाप आपके नन्हे में वही बीज बो देती है।
Service, freely given	बिना शर्त की सेवा
Selfless service, helping with no thought of reward, is central here. The unseen care you give your baby each day is service of the purest kind.	निस्वार्थ सेवा — बिना किसी बदले की सोच के मदद करना — यहाँ सबसे बीच में है। अपने बच्चे के लिए रोज़ की जाने वाली आपकी अनदेखी देखभाल सबसे शुद्ध क़िस्म की सेवा है।
Everyone at one table	सब एक ही पंगत में
The tradition of a shared meal where all sit as equals is much loved. Its spirit, everyone welcome, everyone fed, is a beautiful one to bring home.	साझा खाने की वह परंपरा, जहाँ सब बराबरी से एक साथ बैठते हैं, बहुत प्यारी मानी जाती है। उसकी भावना — हर कोई अपना, हर किसी का पेट भरा — घर ले आने लायक़ है।
Receiving is part of it	लेना भी उसी का हिस्सा है
Service is given, but it is also meant to be received with grace. Letting your community support you now completes the circle.	सेवा दी जाती है, पर उसे नरमी से क़बूल भी करना होता है। अभी अपनी संगत को अपना साथ देने देना उस घेरे को पूरा कर देता है।
Small, steady kindness	छोटी, लगातार नेकी
Grand gestures are not required; small, steady kindnesses are the heart of it. A warm word or a helping hand is enough.	बड़े-बड़े कामों की ज़रूरत नहीं; छोटी और लगातार नेकियाँ ही इसका दिल हैं। एक गर्म बोल या एक मदद का हाथ ही काफ़ी है।
Kindness, caught not taught	नेकी सिखाई नहीं जाती, देखी जाती है
Children learn care most by watching it lived. The gentleness around your home today is already planting seeds.	बच्चे ख़याल रखना सबसे ज़्यादा उसे जीते हुए देखकर सीखते हैं। आपके घर में आज जो नरमी है, वह अभी से बीज बो रही है।
Serving without a spotlight	बिना दिखावे की सेवा
The quiet, unseen service often matters most, given without needing thanks. So much of mothering is exactly this, and it counts.	चुपचाप, बिना किसी की नज़र में आए की गई सेवा अक्सर सबसे बड़ी होती है — जिसमें शुक्रिया की चाह भी नहीं होती। माँ होने का बहुत बड़ा हिस्सा ठीक यही है, और वह गिना जाता है।
A welcome for everyone	सबके लिए खुला दरवाज़ा
A spirit of welcome, making room for whoever comes, runs through community life. The same open-hearted welcome is what you are preparing for your baby.	जो भी आए उसके लिए जगह बना देने की भावना संगत के जीवन में हर जगह मिलती है। वही खुले दिल वाला स्वागत आप अपने बच्चे के लिए तैयार कर रही हैं।
Let others help	दूसरों को मदद करने दीजिए
Accepting help while you grow a baby is wise and gracious. People who love you want to serve; let them.	बच्चे को पालते हुए मदद क़बूल कर लेना समझदारी भी है और शालीनता भी। जो लोग आपसे प्यार करते हैं, वे सेवा करना चाहते हैं; उन्हें करने दीजिए।
Gratitude to your helpers	मदद करने वालों का शुक्रिया
Pausing to thank those who care for you strengthens the bond. A simple thank-you keeps the circle warm.	जो आपका ख़याल रखते हैं, उन्हें ठहरकर शुक्रिया कह देना रिश्ते को मज़बूत करता है। एक सीधा-सा शुक्रिया पूरे घेरे को गर्म रखता है।
Feeding body and heart	तन भी भरे, मन भी
Caring for others' simple needs, a meal, a rest, a listening ear, is treasured. Receiving that care now is part of the same goodness.	दूसरों की सीधी-सादी ज़रूरतों का ख़याल रखना — एक थाली, थोड़ा आराम, सुनने वाला एक कान — बहुत क़ीमती माना जाता है। अभी वही देखभाल पा लेना भी उसी भलाई का हिस्सा है।
No one carries alone	कोई अकेले नहीं उठाता
Community exists so that no one bears joy or hardship by themselves. Letting yourself be carried a little is the tradition working as intended.	संगत इसीलिए होती है कि ख़ुशी हो या मुश्किल, कोई उसे अकेले न उठाए। ख़ुद को थोड़ा सहारा लेने देना उस परंपरा का ठीक वैसे ही चलना है, जैसे उसे चलना चाहिए।
The joy of giving	देने की ख़ुशी
There is a quiet gladness in giving that the tradition knows well. Even small acts of care lift the giver too.	देने में एक चुपचाप ख़ुशी है, जिसे यह परंपरा बख़ूबी जानती है। ख़याल रखने के छोटे काम भी देने वाले का मन उठा देते हैं।
Gentle with the weary	थके हुओं पर नरमी
Extra kindness for the tired, including yourself, fits this spirit. On low days, soften what you ask of yourself.	थके हुए लोगों के लिए थोड़ी ज़्यादा नेकी — और उनमें आप ख़ुद भी हैं — इसी भावना में बैठती है। कमज़ोर दिनों में ख़ुद से जो माँगती हैं, उसे नरम कर लीजिए।
Planting kindness early	नेकी के बीज, अभी से
The care your child sees now becomes the care they give later. You are quietly raising a kind person already.	आपका बच्चा अभी जो ख़याल देखता है, वही आगे चलकर वह दूसरों को देता है। आप अभी से चुपचाप एक नेकदिल इंसान पाल रही हैं।
A circle of hands	हाथों का एक घेरा
New life is meant to be met by many willing hands, not one. Letting that circle form around you blesses your baby too.	नई ज़िंदगी का स्वागत कई तैयार हाथों से होना चाहिए, सिर्फ़ एक से नहीं। उस घेरे को अपने चारों ओर बन जाने देना आपके बच्चे के लिए भी आशीर्वाद है।
Naming & blessings	नाम रखना और आशीर्वाद
Naming within the community	संगत के बीच नाम रखना
A well-loved custom is choosing the baby's name together within the community, in a spirit of blessing. It is a warm, shared welcome for the new child.	एक बहुत प्यारा रिवाज यह है कि बच्चे का नाम संगत के बीच, आशीर्वाद के भाव के साथ, मिलकर चुना जाए। यह नए बच्चे के लिए एक गर्मजोशी भरा, साझा स्वागत होता है।
A name with meaning	मायने वाला नाम
Names are often chosen for their meaning and the good wishes they carry. Picking something that holds hope for your child is a sweet, lasting gift.	नाम अक्सर उनके मायनों और उनमें बसी नेक कामनाओं को देखकर चुने जाते हैं। ऐसा नाम चुनना जिसमें आपके बच्चे के लिए उम्मीद हो, एक मीठा और हमेशा साथ रहने वाला तोहफ़ा है।
Blessings all around	चारों ओर आशीर्वाद
New life is met with blessings and good wishes from family and community. Receiving them, and believing them, is part of the joy.	नई ज़िंदगी का स्वागत परिवार और संगत के आशीर्वाद और नेक कामनाओं से होता है। उन्हें ले लेना, और उन पर यक़ीन कर लेना, इसी ख़ुशी का हिस्सा है।
Welcomed as equal and whole	बराबर और पूरा, पहले दिन से
A child is welcomed as a full, equal member of the community from the very start. Your baby belongs, simply by arriving.	बच्चे का स्वागत पहले ही दिन से संगत के एक पूरे, बराबर सदस्य की तरह होता है। आपका बच्चा बस आ जाने भर से अपना है।
Joy shared widely	दूर तक बाँटी गई ख़ुशी
Happy news is meant to be shared, the joy spread outward. Letting others celebrate with you doubles the gladness.	ख़ुशख़बरी बाँटने के लिए ही होती है, ख़ुशी बाहर तक फैलाने के लिए। दूसरों को अपने साथ जश्न मनाने देना ख़ुशी दुगुनी कर देता है।
A name chosen together	मिलकर चुना गया नाम
Choosing a baby's name within the warmth of community is a loved custom. It is a shared welcome for the new child.	संगत की गर्माहट के बीच बच्चे का नाम चुनना एक प्यारा रिवाज है। यह नए बच्चे का साझा स्वागत होता है।
Meaning that lasts	वह मायना जो ठहरता है
Names chosen for their meaning carry quiet wishes for years. Something hopeful is a gift that ages well.	मायने देखकर चुने गए नाम सालों तक चुपचाप कामनाएँ लिए चलते हैं। उम्मीद से भरा नाम ऐसा तोहफ़ा है जो वक़्त के साथ और अच्छा लगता है।
Showered with blessings	आशीर्वादों की बौछार
New life draws blessings from family and community alike. Receiving them, and believing them, is part of the joy.	नई ज़िंदगी परिवार और संगत, दोनों से आशीर्वाद खींच लाती है। उन्हें ले लेना, और उन पर यक़ीन कर लेना, इसी ख़ुशी का हिस्सा है।
Belonging from the start	शुरू से ही अपना
A child is welcomed as a full, equal member from the very beginning. Your baby belongs simply by arriving.	बच्चे का स्वागत शुरू से ही एक पूरे, बराबर सदस्य की तरह होता है। आपका बच्चा बस आ जाने भर से अपना है।
Joy spread wide	ख़ुशी, दूर तक
Happy news is meant to be shared outward. Letting others rejoice with you multiplies the gladness.	ख़ुशख़बरी बाहर तक बाँटने के लिए होती है। दूसरों को अपने साथ ख़ुश होने देना ख़ुशी को कई गुना कर देता है।
Good wishes in a name	नाम में बसा आशीर्वाद
A name can hold a quiet good wish, spoken every time it is said. Choose one you will be glad to repeat with love.	नाम अपने भीतर एक चुपचाप नेक कामना रख सकता है, जो हर बार पुकारे जाने के साथ कही जाती है। ऐसा नाम चुनिए जिसे प्यार से बार-बार दोहराने में आपको ख़ुशी हो।
Said with love	प्यार से पुकारा गया
The way a name is first spoken, with tenderness, sets the tone. Your baby's name will be one of the softest words you say.	नाम पहली बार जिस कोमलता से कहा जाता है, वही आगे का सुर तय कर देती है। आपके बच्चे का नाम आपके कहे सबसे नरम लफ़्ज़ों में से एक होगा।
Elders' blessings	बड़ों का आशीर्वाद
The blessings of grandparents and elders are treasured at every milestone. Their love, spoken or simply felt, wraps your baby warmly.	हर पड़ाव पर दादा-दादी, नाना-नानी और बड़ों का आशीर्वाद बहुत क़ीमती माना जाता है। उनका प्यार, चाहे कहा जाए या बस महसूस हो, आपके बच्चे को गर्म चादर की तरह ढक लेता है।
A warm welcome readied	तैयार होता हुआ स्वागत
Welcoming customs centre on warmth, gratitude and gentle blessing. You are already preparing that welcome in your heart.	स्वागत के रिवाज गर्मजोशी, शुक्र और नरम आशीर्वाद के इर्द-गिर्द घूमते हैं। वह स्वागत आप अपने मन में अभी से तैयार कर रही हैं।
Gratitude at the threshold	दहलीज़ पर शुक्र
New arrivals are met with thankfulness for the gift of life. A grateful heart makes the welcome fuller.	नए आने वालों का स्वागत ज़िंदगी के तोहफ़े के लिए शुक्र के साथ होता है। शुक्रगुज़ार मन उस स्वागत को और भरा-पूरा बना देता है।
A fresh beginning	एक नई शुरुआत
Each new child is a fresh beginning for a whole family. Your baby brings a new chapter, and new hope, to everyone.	हर नया बच्चा पूरे परिवार के लिए एक नई शुरुआत होता है। आपका बच्चा सबके लिए एक नया अध्याय और नई उम्मीद लेकर आ रहा है।
Celebrating together	साथ मिलकर मनाई गई ख़ुशी
Joy is meant to gather people, so no one celebrates alone. Letting your community share the happiness is part of the gift.	ख़ुशी लोगों को जोड़ने के लिए होती है, ताकि कोई अकेले जश्न न मनाए। अपनी संगत को इस ख़ुशी में शामिल कर लेना भी उसी तोहफ़े का हिस्सा है।
A name that fits a life	वह नाम जो पूरी ज़िंदगी साथ चले
Choosing a name that suits both a tiny baby and the grown person to come is kind. Picture them at every age as you choose.	ऐसा नाम चुनना अच्छा होता है जो नन्हे बच्चे पर भी जँचे और आगे बनने वाले बड़े इंसान पर भी। चुनते वक़्त उसे हर उम्र में मन में देख लीजिए।
Blessings spoken over you	आपके लिए भी आशीर्वाद
Blessings are often spoken over the mother too, wishes for peace and strength. Receiving them, you are reminded you are held.	आशीर्वाद अक्सर माँ के लिए भी कहे जाते हैं — सुकून और हिम्मत की कामनाएँ। उन्हें लेते हुए आपको याद आ जाता है कि आपको भी थामा गया है।
Wanted and loved	चाहा गया, और बहुत प्यारा
Under every custom is one simple message: this child is wanted and loved. That truth is worth resting in.	हर रिवाज के नीचे एक ही सीधा-सा संदेश है — इस बच्चे को चाहा गया है और उससे बहुत प्यार किया जाता है। इस सच में टिक जाना अच्छा लगता है।
Christianity	ईसाई धर्म
Hope, gratitude and prayer as a family welcomes new life.	आशा, कृतज्ञता और प्रार्थना — जब एक परिवार नए जीवन का स्वागत करता है।
Reflections & prayer	मनन और प्रार्थना
A gift to be thankful for	एक उपहार, जिसके लिए मन धन्यवाद कहे
A new pregnancy is often received as a gift and a reason for gratitude and hope. Even on tired days, a quiet thank-you can steady the heart.	नया गर्भ अक्सर एक उपहार की तरह लिया जाता है — कृतज्ञता और आशा की एक वजह। थकान भरे दिनों में भी मन ही मन कहा गया एक धन्यवाद दिल को थाम लेता है।
Praying simply	सीधी-सादी प्रार्थना
Prayer here is often just an honest conversation, asking for a healthy baby, a safe delivery and peace of mind. You do not need the perfect words; sincerity is enough.	यहाँ प्रार्थना अक्सर एक सच्ची बातचीत भर होती है — स्वस्थ शिशु, सुरक्षित प्रसव और मन की शांति की माँग। सही शब्द ढूँढ़ने की ज़रूरत नहीं; मन की सच्चाई काफ़ी है।
Peace that steadies	वह शांति जो थाम लेती है
Many lean on their faith for a peace that holds them through worry, a calm that does not depend on everything going right. On anxious days, that can be a real anchor.	बहुत से लोग अपनी आस्था का सहारा लेते हैं — ऐसी शांति के लिए जो चिंता के बीच भी थामे रखे, ऐसा ठहराव जिसके लिए सब कुछ ठीक होना ज़रूरी न हो। घबराहट वाले दिनों में यही मन को टिकाने की ज़मीन बन जाती है।
Hope as a quiet strength	आशा, एक चुपचाप ताक़त
Hope runs through this tradition, the trust that good is being woven even when you cannot see it. Holding gently to hope can lighten the heavier stretches.	इस परंपरा में आशा हर जगह बहती है — यह भरोसा कि भला कुछ बुना जा रहा है, भले ही वह आपको दिख न रहा हो। आशा को हल्के हाथों से थामे रखना भारी दिनों का बोझ कम कर देता है।
You are held	आप सँभाली हुई हैं
A comforting thread is the sense of being known, loved and cared for, just as you are. Whatever you are feeling today, you are not carrying it unseen.	एक तसल्ली देने वाला धागा यह है — कि आप जैसी हैं वैसी ही जानी जाती हैं, चाही जाती हैं, सँभाली जाती हैं। आज आप जो भी महसूस कर रही हैं, उसे किसी की नज़र से छूटकर अकेले नहीं उठा रहीं।
A reason for thanks	धन्यवाद कहने की एक वजह
A new pregnancy is often received as a gift and a cause for gratitude. Even on tired days, a quiet thank-you can steady the heart.	नया गर्भ अक्सर एक उपहार की तरह लिया जाता है, कृतज्ञता की एक वजह। थके हुए दिनों में भी चुपचाप कहा गया एक धन्यवाद दिल को थाम लेता है।
Honest, simple prayer	सच्ची, सीधी प्रार्थना
Prayer here is often just honest conversation, asking for health, a safe birth, and peace. You do not need perfect words; sincerity is enough.	यहाँ प्रार्थना अक्सर एक सच्ची बातचीत भर होती है — सेहत, सुरक्षित जन्म और शांति की माँग। सही शब्द ज़रूरी नहीं; मन की सच्चाई काफ़ी है।
A peace that holds	वह शांति जो टिकी रहती है
Many lean on faith for a calm that does not depend on everything going right. On anxious days, that can be a real anchor.	बहुत से लोग आस्था का सहारा ऐसे ठहराव के लिए लेते हैं जिसके लिए सब कुछ ठीक होना ज़रूरी न हो। घबराहट वाले दिनों में यही मन को टिकाने की ज़मीन बन जाता है।
Hope that lightens	आशा, जो बोझ हल्का करती है
Hope, the trust that good is being woven even unseen, runs deep here. Holding gently to it lightens the heavier stretches.	आशा — यह भरोसा कि भला कुछ बुना जा रहा है, भले दिखे नहीं — यहाँ बहुत गहरी है। उसे हल्के हाथों से थामे रखना भारी दिनों को हल्का कर देता है।
Casting your cares	फ़िक्रें सौंप देना
There is a comforting idea of handing your worries over rather than carrying them all. At night, you might set the day's fears down and rest.	एक तसल्ली देने वाला ख़याल यह है कि अपनी चिंताएँ सौंप दीजिए, सब ख़ुद ही मत उठाइए। रात को दिन भर के डर नीचे रखकर आराम कर लीजिए।
Thanks in small things	छोटी-छोटी बातों का शुक्रिया
Gratitude is encouraged even in ordinary moments, not only the big ones. A grateful glance at a quiet day counts.	कृतज्ञता सिर्फ़ बड़े मौक़ों की नहीं, मामूली पलों की भी होती है। एक शांत दिन पर डाली गई शुक्रगुज़ार नज़र भी गिनी जाती है।
Praying for your baby	अपने शिशु के लिए प्रार्थना
Many like to pray simply over their growing baby, for health and a good life. A hand on your bump and a sincere wish is a tender daily habit.	बहुत सी माएँ अपने बढ़ते शिशु के लिए सीधी-सी प्रार्थना करती हैं — सेहत की, एक अच्छे जीवन की। पेट पर हाथ और मन से निकली एक दुआ — यह रोज़ की एक कोमल आदत है।
Faith a little bigger than fear	डर से ज़रा-सा बड़ा भरोसा
You do not have to be fearless, only to let trust be a touch larger than the fear. That small margin can carry you a long way.	निडर होना ज़रूरी नहीं — बस भरोसा डर से ज़रा-सा बड़ा रहे, इतना काफ़ी है। यही थोड़ा-सा फ़र्क़ आपको बहुत दूर तक ले जाता है।
Rest for the weary	थके हुए मन के लिए आराम
There is a tender invitation to bring your tiredness and find rest. Letting yourself slow down is welcomed, not frowned upon.	यहाँ एक कोमल न्योता है — अपनी थकान लेकर आइए और आराम पाइए। धीमे पड़ जाना यहाँ स्वीकार है, उस पर कोई भौंहें नहीं चढ़ाता।
