Christianity	ईसाई धर्म
An old story tells of a traveller who carried someone across a river, then walked on, while his companion kept carrying the memory for miles. It gently asks: what are you still carrying that you could set down?	एक पुरानी कहानी है — एक राही किसी को नदी पार करा देता है और आगे बढ़ जाता है, जबकि उसका साथी उस बात को मीलों तक मन में ढोता रहता है। यह धीरे से पूछती है: आप अब भी क्या ढो रही हैं, जिसे नीचे रखा जा सकता है?
The cup already full	पहले से भरा प्याला
A well-known tale tells of a teacher pouring tea into a cup until it overflows, to show that a full mind cannot receive. Making a little empty space, a quiet pause, lets new calm in.	एक जानी-पहचानी कहानी है — एक गुरु प्याले में चाय उँडेलते जाते हैं जब तक वह छलक न पड़े, यह दिखाने के लिए कि भरा हुआ मन कुछ नहीं ले सकता। थोड़ी-सी ख़ाली जगह बना लीजिए, एक चुप ठहराव — नया सुकून वहीं से भीतर आता है।
Who knows what is good	क्या पता, यह अच्छा है या बुरा
A gentle story follows a farmer who meets each turn of fortune with who knows whether this is good or bad. It is freeing in pregnancy, where not every surprise can be judged at once.	एक कोमल कहानी एक किसान की है, जो क़िस्मत के हर मोड़ पर बस इतना कहता है — क्या पता, यह अच्छा है या बुरा। गर्भावस्था में यह बात मन हल्का कर देती है, जहाँ हर अचानक बात को उसी वक़्त तौला नहीं जा सकता।
The cracked pot	चटका हुआ घड़ा
One tale tells of a cracked water pot that, leaking along the path, unknowingly watered a row of flowers. Our imperfections, too, can quietly bring beauty we never planned.	एक कहानी है — एक चटका हुआ घड़ा, जो रास्ते भर रिसता रहा और अनजाने में फूलों की एक पूरी क़तार सींच गया। हमारी कमियाँ भी चुपचाप ऐसी सुंदरता ले आती हैं जिसकी हमने कभी योजना ही नहीं बनाई।
A single candle	एक अकेली लौ
A loved image shows one candle lighting many others without losing any of its own flame. The love and calm you carry can be shared endlessly and never run out.	एक प्यारी तस्वीर है — एक मोमबत्ती कई और मोमबत्तियाँ जला देती है और उसकी अपनी लौ ज़रा भी कम नहीं होती। जो प्यार और ठहराव आपके पास है, वह जितना बाँटिए, कभी ख़त्म नहीं होता।
The raft you can put down	वह बेड़ा, जिसे रखा जा सकता है
A teaching likens helpful practices to a raft for crossing a river, useful, but not meant to be carried on your back forever. Hold your routines lightly; keep what helps, release the rest.	एक सीख काम आने वाली आदतों को नदी पार करने के बेड़े जैसा बताती है — ज़रूरी, पर हमेशा पीठ पर ढोने के लिए नहीं। अपनी दिनचर्या को हल्के हाथों से थामिए; जो काम आए उसे रखिए, बाक़ी छोड़ दीजिए।
The blind men and the elephant	हाथी और उसे टटोलते लोग
An old story tells of several people each touching one part of an elephant and describing something different. It is a gentle reminder to hold our own view humbly, especially amid so much pregnancy advice.	एक पुरानी कहानी है — कई लोग हाथी के अलग-अलग हिस्सों को छूते हैं और हर एक कुछ अलग बताता है। यह धीरे से याद दिलाती है कि अपनी राय को थोड़ी विनम्रता से थामिए — ख़ासकर तब, जब गर्भावस्था को लेकर इतनी सलाहें चारों ओर हों।
A handful of leaves	मुट्ठी भर पत्ते
One tale pictures a teacher holding a few leaves, saying what truly matters is small and simple compared to a whole forest of ideas. For you, the essentials are few: rest, nourish, love.	एक कहानी में एक गुरु मुट्ठी में कुछ पत्ते लिए कहते हैं कि विचारों के पूरे जंगल के सामने जो सचमुच काम का है, वह थोड़ा-सा और सीधा-सा है। आपके लिए भी ज़रूरी बातें गिनी-चुनी हैं: आराम, पोषण, प्यार।
The wise response	समझदारी भरा जवाब
A story tells of a calm man who, offered an insult, simply did not accept it, so it stayed with the giver. You can let unkind or anxious words pass without taking them in.	एक कहानी है — एक शांत आदमी, जिसे किसी ने अपशब्द कहे, और उसने उन्हें लिया ही नहीं, तो वे कहने वाले के पास ही रह गए। कड़वी या डराने वाली बातों को भी ऐसे ही गुज़र जाने दीजिए, भीतर मत उतारिए।
Drop by drop	बूँद-बूँद
A simple image notes that a water pot fills drop by drop, and so does goodness. Your small daily acts of care are quietly filling something beautiful.	एक सीधी-सी तस्वीर कहती है कि घड़ा बूँद-बूँद भरता है, और भलाई भी वैसे ही। रोज़ की आपकी छोटी-छोटी देखभालें चुपचाप कुछ बहुत सुंदर भर रही हैं।
The strawberry on the cliff	चट्टान पर लगी वह स्ट्रॉबेरी
An old story tells of a traveller in danger who pauses to taste a wild strawberry, sweet, right then. It is a tender nudge to taste the good moments even in an uncertain stretch.	एक पुरानी कहानी है — ख़तरे में फँसा एक राही रुककर एक जंगली स्ट्रॉबेरी चख लेता है, जो उसी पल मीठी है। यह कोमल इशारा है कि अनिश्चित दौर में भी अच्छे पलों का स्वाद ले लीजिए।
Carrying less	कम ढोना
A tale honours a wanderer who travelled light and was free because of it. Letting go of a few worries lightens your own road too.	एक कहानी उस घुमक्कड़ को सराहती है जो हल्का चलता था और इसीलिए आज़ाद था। कुछ चिंताएँ छोड़ देने से आपका रास्ता भी हल्का हो जाता है।
The echo	गूँज
One story likens the world to an echo that returns what we call into it. The gentleness you send out tends to come back to you.	एक कहानी दुनिया को गूँज जैसा बताती है — हम जो पुकारते हैं, वही लौटकर आता है। जो कोमलता आप बाहर भेजती हैं, वह आपके पास लौट आती है।
A quiet teacher	एक चुपचाप गुरु
Some stories show wisdom taught not by words but by a calm, steady presence. The calm you embody now teaches your baby before a single word is spoken.	कुछ कहानियों में समझ शब्दों से नहीं, एक शांत और टिकी हुई मौजूदगी से सिखाई जाती है। आज आप जो ठहराव जी रही हैं, वह आपके शिशु को एक भी शब्द कहे बिना सिखा देता है।
The melting snow	पिघलती बर्फ़
A gentle image watches snow melt in its own time, with no need to rush it. Your body and baby are unfolding at their own pace; you need not hurry them.	एक कोमल तस्वीर बर्फ़ को अपने समय पर पिघलते देखती है, बिना कोई जल्दी मचाए। आपका शरीर और आपका शिशु अपनी रफ़्तार से खुल रहे हैं; उन्हें जल्दी करने की ज़रूरत नहीं।
Footprints on water	पानी पर पड़े निशान
One reflection notes that troubles, like footprints on water, can close over and fade. Many of today's worries will quietly smooth away in time.	एक मनन कहता है कि परेशानियाँ पानी पर पड़े निशानों की तरह होती हैं — भर जाती हैं, मिट जाती हैं। आज की बहुत सी चिंताएँ समय के साथ चुपचाप बैठ जाएँगी।
Others	अन्य
Universal, gentle reflections beyond any one tradition.	सबके लिए कोमल बातें — किसी एक परंपरा से परे।
Calm for everyone	सबके लिए ठहराव
A quiet worth all its own	एक चुप्पी, अपने आप में क़ीमती
Whatever you believe, or if you hold no faith at all, a few still minutes are their own gentle gift. Peace does not require a tradition; it only asks for a pause.	आप जो भी मानती हों, या कुछ भी न मानती हों — कुछ ठहरे हुए मिनट अपने आप में एक कोमल उपहार हैं। शांति के लिए किसी परंपरा की ज़रूरत नहीं; वह बस एक ठहराव माँगती है।
Kindness needs no label	दया को किसी नाम की ज़रूरत नहीं
The wish to be gentle with yourself and your baby belongs to everyone. You can offer it freely, in your own words, without borrowing anyone's language.	अपने साथ और अपने शिशु के साथ कोमल रहने की चाह सबकी है। इसे आप खुलकर, अपने ही शब्दों में दे सकती हैं — किसी और की भाषा उधार लिए बिना।
Gratitude, plainly felt	कृतज्ञता, सीधे-सादे ढंग से
Noticing one good thing in a day is a comfort available to anyone. A warm cup, a small kick, a soft light: these are enough to be thankful for.	दिन में एक अच्छी बात पर नज़र डाल लेना — यह तसल्ली किसी को भी मिल सकती है। एक गर्म प्याला, एक छोटी-सी लात, एक नरम रोशनी: शुक्रिया कहने के लिए इतना काफ़ी है।
Held by the ordinary	रोज़मर्रा का सहारा
Sometimes steadiness comes not from anything grand but from the plain, reliable rhythm of a day. Let the ordinary hold you when the big questions feel heavy.	कभी-कभी टिकाव किसी बड़ी चीज़ से नहीं, दिन की सीधी-सादी, भरोसेमंद लय से आता है। जब बड़े सवाल भारी लगें, तो रोज़मर्रा को अपना सहारा बन जाने दीजिए।
Your own gentle ritual	अपनी एक कोमल रीत
You are free to make a small ritual entirely your own, a candle, a breath, a hand on your bump. What matters is the care you put into it, not where it came from.	आप अपनी एक छोटी-सी रीत बिलकुल अपने ढंग से बना सकती हैं — एक मोमबत्ती, एक साँस, पेट पर रखा एक हाथ। मायने यह रखता है कि आपने उसमें कितना मन लगाया, यह नहीं कि वह कहाँ से आई।
Breathing is universal	साँस सबकी एक जैसी है
Across every tradition and none, the slow breath calms the body the same way. A few long, even breaths are a practice anyone can keep, anywhere.	हर परंपरा में, और बिना किसी परंपरा के भी, धीमी साँस शरीर को एक ही तरह शांत करती है। कुछ लंबी, एक-सी साँसें — यह अभ्यास कोई भी, कहीं भी कर सकता है।
